"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-02",101.8167,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-03",102.0036,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-04",102.1875,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-05",102.3721,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-06",102.5086,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-07",102.519,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-08",102.3206,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-09",101.8988,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-10",101.2847,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-11",100.5614,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1997-12",99.82474,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-01",99.1283,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-02",98.48593,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-03",97.88409,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-04",97.32525,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-05",96.83675,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-06",96.46836,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-07",96.24123,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-08",96.14938,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-09",96.18651,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-10",96.33932,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-11",96.59496,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1998-12",96.94861,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-01",97.41087,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-02",97.97634,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-03",98.62129,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-04",99.29339,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-05",99.93734,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-06",100.5211,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-07",101.0296,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-08",101.4793,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-09",101.9061,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-10",102.3441,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-11",102.805,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","1999-12",103.271,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-01",103.6963,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-02",104.0291,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-03",104.228,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-04",104.2612,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-05",104.1709,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-06",104.0018,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-07",103.7779,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-08",103.4885,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-09",103.1058,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-10",102.6416,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-11",102.1344,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2000-12",101.6416,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-01",101.2146,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-02",100.8497,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-03",100.5314,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-04",100.2444,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-05",99.95654,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-06",99.63163,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-07",99.26617,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-08",98.8876,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-09",98.52377,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-10",98.21982,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-11",98.01816,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2001-12",97.94028,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-01",97.97746,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-02",98.0999,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-03",98.268,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-04",98.41503,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-05",98.4977,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-06",98.51942,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-07",98.51778,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-08",98.52346,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-09",98.54555,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-10",98.58452,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-11",98.64428,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2002-12",98.73492,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-01",98.84458,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-02",98.95493,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-03",99.05289,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-04",99.1582,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-05",99.28333,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-06",99.41734,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-07",99.5415,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-08",99.65058,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-09",99.7319,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-10",99.79507,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-11",99.85684,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2003-12",99.92044,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-01",99.9761,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-02",100.008,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-03",100.001,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-04",99.94691,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-05",99.87041,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-06",99.79079,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-07",99.72381,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-08",99.6686,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-09",99.60342,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-10",99.51527,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-11",99.40263,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2004-12",99.3028,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-01",99.25173,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-02",99.25068,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-03",99.28963,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-04",99.36156,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-05",99.47596,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-06",99.64484,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-07",99.85269,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-08",100.0777,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-09",100.2964,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-10",100.5116,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-11",100.7589,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2005-12",101.0579,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-01",101.401,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-02",101.7567,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-03",102.1009,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-04",102.4175,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-05",102.6772,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-06",102.8863,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-07",103.0494,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-08",103.1694,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-09",103.2655,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-10",103.3795,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-11",103.5256,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2006-12",103.6878,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-01",103.8464,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-02",104.008,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-03",104.1638,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-04",104.2996,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-05",104.4071,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-06",104.4919,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-07",104.5453,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-08",104.5572,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-09",104.5328,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-10",104.4575,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-11",104.3117,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2007-12",104.0889,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-01",103.8078,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-02",103.4997,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-03",103.1483,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-04",102.6919,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-05",102.0268,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-06",101.0376,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-07",99.6989,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-08",98.10482,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-09",96.43984,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-10",94.89894,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-11",93.63103,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2008-12",92.69353,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-01",92.08337,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-02",91.76801,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-03",91.71657,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-04",91.88629,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-05",92.22773,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-06",92.68103,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-07",93.20278,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-08",93.76981,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-09",94.36431,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-10",94.97496,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-11",95.58658,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2009-12",96.18828,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-01",96.77599,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-02",97.34527,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-03",97.89833,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-04",98.42197,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-05",98.91433,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-06",99.39989,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-07",99.89313,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-08",100.3958,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-09",100.9085,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-10",101.4238,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-11",101.9235,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2010-12",102.3892,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-01",102.7957,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-02",103.1232,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-03",103.3509,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-04",103.4609,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-05",103.4611,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-06",103.3904,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-07",103.2864,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-08",103.1801,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-09",103.103,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-10",103.041,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-11",102.9648,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2011-12",102.8493,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-01",102.6771,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-02",102.427,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-03",102.0777,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-04",101.6463,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-05",101.1878,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-06",100.7826,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-07",100.47,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-08",100.2437,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-09",100.0772,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-10",99.94822,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-11",99.85058,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.77642,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-01",99.70681,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-02",99.62312,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-03",99.53149,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-04",99.46075,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-05",99.44005,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-06",99.48636,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-07",99.59867,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-08",99.75404,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-09",99.92767,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-10",100.0939,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-11",100.2452,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2013-12",100.3907,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-01",100.5367,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-02",100.7019,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.887,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-04",101.0808,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-05",101.2526,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-06",101.3459,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-07",101.3112,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-08",101.1378,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-09",100.8409,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-10",100.4594,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-11",100.0544,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2014-12",99.69751,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-01",99.45507,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-02",99.34743,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-03",99.32475,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-04",99.33725,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-05",99.32033,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-06",99.23595,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-07",99.08201,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-08",98.88906,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-09",98.6922,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-10",98.50783,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-11",98.34592,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2015-12",98.23164,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-01",98.20369,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-02",98.28667,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-03",98.47167,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-04",98.71732,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-05",98.98313,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-06",99.24132,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-07",99.47957,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-08",99.70617,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-09",99.92791,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-10",100.1468,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-11",100.3539,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2016-12",100.5389,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-01",100.6673,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-02",100.7245,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-03",100.7193,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-04",100.6735,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-05",100.6108,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-06",100.565,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-07",100.5689,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.6287,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.7314,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.8598,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.9994,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2017-12",101.1283,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-01",101.2282,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-02",101.2776,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-03",101.283,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-04",101.2542,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-05",101.1924,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-06",101.0885,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.9429,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.7546,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.5276,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.2582,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-11",99.97421,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.73284,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.57099,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.47341,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.41232,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.35786,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.28246,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.18282,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.07291,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-08",98.96362,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-09",98.86551,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-10",98.75985,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-11",98.62048,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2019-12",98.41528,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.12766,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-02",97.78883,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-03",96.54637,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-04",90.44466,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-05",92.72883,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-06",96.33229,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-07",97.1968,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-08",97.34915,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-09",97.57053,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-10",97.87695,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-11",98.27911,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2020-12",98.75475,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-01",99.27412,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-02",99.81267,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.3426,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-04",100.8458,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-05",101.3148,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-06",101.7349,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-07",102.0923,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-08",102.3874,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-09",102.6245,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-10",102.7944,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-11",102.892,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2021-12",102.9527,
"RUS","CLI","AMPLITUD","LTRENDIDX","M","2022-01",103.0155,
